,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
CAD,1.0,5.5912980036,105.6576241958,36.3281819991,4.94687272,233.9457451748,17.972408304,0.5764077734,3.2122438151,7.0729588114,10730.2845393646,54.1293360748,3.884393447,52.9893214831,5.0268621078,76.8521589176,23.3574318498,0.7002719374,0.6632619221,3.1018770312,1.2972076673,5.0393977582,5.084897526,7.4179213371,1.1743052331,13.0378722558,0.7213636665,17.10904026,1.0163825695,1.1008821384,2.5249718114,870.9225973337,3.0069642502
HKD,0.1788493476,1.0,18.896797153,6.4972716489,0.8847449585,41.8410438909,3.2143534994,0.1030901542,0.5745077106,1.2649940688,1919.1043890866,9.6809964413,0.6947212337,9.4771055753,0.8990510083,13.7449584816,4.1774614472,0.1252431791,0.118623962,0.5547686833,0.232004745,0.9012930012,0.909430605,1.3266903915,0.2100237248,2.3318149466,0.1290154211,3.059940688,0.1817793594,0.1968920522,0.4515895611,155.7639383155,0.5377935943
ISK,0.0094645323,0.0529190207,1.0,0.343829253,0.0468198368,2.2141870684,0.1701004394,0.00545543,0.0304023854,0.0669422473,101.5571249215,0.5123088512,0.0367639674,0.5015191463,0.0475768989,0.7273697426,0.2210671689,0.0066277464,0.0062774639,0.0293578154,0.0122774639,0.047695543,0.048126177,0.0702071563,0.0111142498,0.1233973635,0.0068273697,0.1619290647,0.0096195857,0.0104193346,0.0238976773,8.2428750785,0.0284595104
PHP,0.0275268385,0.1539107573,2.9084203608,1.0,0.1361717666,6.4397867524,0.4947235814,0.0158666837,0.0884229168,0.1946961951,295.3708099029,1.4900094939,0.1069250712,1.4586284963,0.1383736216,2.1154969693,0.642956255,0.0192762725,0.0182575038,0.0853848682,0.035708026,0.1387186884,0.1399711531,0.2041919229,0.0323249105,0.3588914044,0.0198568612,0.4709577887,0.0279777989,0.0303038049,0.0695044913,23.9737457095,0.0827722194
DKK,0.2021479138,1.1302692266,21.3584683042,7.3436662019,1.0,47.2916443205,3.6330848439,0.1165196289,0.6493483857,1.4297838679,2169.1046337016,10.9421323608,0.7852220315,10.7116807894,1.0161696879,15.5355035933,4.7216561193,0.1415585112,0.1340770138,0.6270379706,0.2622278237,1.0187037434,1.0279014266,1.4995173228,0.237383353,2.6355786764,0.1458221602,3.458556795,0.205459616,0.2225410276,0.510417784,176.0551860989,0.6078515499
HUF,0.0042744954,0.0238999773,0.4516330234,0.155284645,0.0211453844,1.0,0.0768229757,0.0024638523,0.0137307213,0.0302333296,45.8665513722,0.2313755954,0.0166038217,0.2265026083,0.0214872987,0.328504196,0.0998412338,0.0029933091,0.00283511,0.0132589589,0.0055449081,0.0215408823,0.0217353708,0.0317078703,0.0050195623,0.0557303243,0.0030834656,0.073132513,0.0043445226,0.0047057156,0.0107929803,3.7227545929,0.0128532547
CZK,0.0556408459,0.3111045503,5.8788795808,2.0213307746,0.2752481825,13.0169391446,1.0,0.0320718161,0.1787319629,0.3935454109,597.0421079824,3.0118020445,0.216130937,2.9483706683,0.2796988597,4.2761191276,1.299627265,0.0389637229,0.0369044544,0.1725910617,0.0721777319,0.2803963538,0.2829279994,0.4127394176,0.0653393365,0.7254382404,0.0401372846,0.9519614717,0.0565523859,0.0612540134,0.1404915673,48.4588699856,0.1673100343
GBP,1.7348829181,9.7002473966,183.3036073874,63.0251423969,8.5822449802,405.8684770727,31.1800241643,1.0,5.5728669237,12.2707554226,18615.7873540072,93.9080605259,6.7389678384,91.9302686842,8.7210172027,133.3294977274,40.5224095276,1.2148898222,1.150681779,5.3813934756,2.2505034233,8.7427650883,8.8217018584,12.8692250158,2.0372820896,22.6191818653,1.2514815028,29.6821816927,1.7633047581,1.9099016167,4.3805304643,1510.9487371267,5.2167309131
RON,0.3113088724,1.7406206768,32.8921558506,11.3092853751,1.5400053685,72.829386137,5.5949701637,0.179440854,1.0,2.2018748322,3340.432780657,16.8509425781,1.209246144,16.496045921,1.5649067746,23.9247589354,7.2713757717,0.2180008672,0.2064793211,0.965641841,0.4038322562,1.5688092338,1.5829737152,2.3092647271,0.365571638,4.0588053106,0.2245669096,5.3261960315,0.3164089116,0.3427143772,0.7860461275,271.1259317379,0.9360946501
SEK,0.1413835464,0.7905175405,14.9382496085,5.1362072037,0.6994064085,33.076079108,2.5410028226,0.0814945752,0.4541584223,1.0,1517.0856815987,7.6529974962,0.549189321,7.4918181903,0.7107155919,10.865630773,3.3023565487,0.0990069299,0.0937743227,0.438554375,0.1834038204,0.7124879266,0.7189208451,1.0487720252,0.1660274384,1.8433406165,0.1019889534,2.4189367867,0.1436997721,0.1556466208,0.3569894691,123.1341254138,0.4251352695
IDR,9.31942e-05,0.0005210764,0.009846675,0.0033855749,0.0004610197,0.0218023804,0.0016749237,5.37178e-05,0.0002993624,0.0006591586,1.0,0.0050445387,0.0003620028,0.004938296,0.0004684743,0.0071621734,0.0021767766,6.52613e-05,6.18121e-05,0.0002890769,0.0001208922,0.0004696425,0.0004738828,0.000691307,0.0001094384,0.0012150537,6.72269e-05,0.0015944629,9.47209e-05,0.0001025958,0.0002353127,0.0811649117,0.0002802315
INR,0.0184742706,0.1032951521,1.9519475364,0.6711366633,0.0913898651,4.3219769932,0.3320271337,0.0106487132,0.0593438614,0.1306677548,198.2341797899,1.0,0.0717613355,0.978939062,0.0928676107,1.4197875771,0.4315115156,0.0129370132,0.0122532802,0.0573049155,0.0239649654,0.0930991977,0.0939397727,0.1370406858,0.0216944326,0.2408651796,0.0133266675,0.3160770388,0.0187769266,0.0203379945,0.0466470124,16.0896597019,0.0555514711
